supplier ID,printer,order completion time,material,category,resolution,Price (USD)
3dsolid,Tevo Black Widow,1,Generic Standard PLA,ABS/PLA,200,5.6
builditfull,Creality CR-10,2,Generic Standard PLA,ABS/PLA,200,5.6
mattyams,Creality CR-10S,2,Generic Standard PLA,ABS/PLA,200,5.6
mattyams,Creality CR-10S,2,Generic Standard PLA,ABS/PLA,200,5.6
108471,Ultimaker 2+,2,ColorFabb Glowfill,ABS/PLA Filled,200,5.6
108471,Ultimaker 2+,2,ColorFabb woodFill,ABS/PLA Filled,200,5.6
108471,Ultimaker 2+,2,ColorFabb XT,ABS/PLA Filled,200,5.6
146207,Prusa i3,1,Generic Woodfill PLA,ABS/PLA Filled,200,5.6
JacksonHub,LulzBot Mini,3,Polymaker Polymax PLA,ABS/PLA Filled,200,5.6
108471,Ultimaker 2+,2,Formfutura FlexFil,Biofilaments,200,5.6
146207,Prusa i3,1,Generic Standard Nylon,Nylon,200,5.6
21694,MendelMax,2,Generic Standard PETG,PET,200,5.6
108471,Ultimaker 2+,2,Generic Standard PETG,PET,200,5.6
21694,MendelMax,2,Generic TPU,TPE,200,5.6
3dsolid,Tevo Little Monster,1,Generic TPU,TPE,200,5.6
3dsolid,Tevo Black Widow,1,Generic TPU,TPE,200,5.6
XYZed,Prusa Steel V4.0 (30 cm X 20 cm X 20 cm),4,Generic Standard PLA,ABS/PLA,250,5.62
greenlee,Wanhao Duplicator 6,1,Generic Standard PLA,ABS/PLA,100,5.64
banjags3dprinting,Zonestar P802M,3,Generic Standard PLA,ABS/PLA,100,5.65
small3d,Monoprice MP Select Mini,2,Generic Woodfill PLA,ABS/PLA Filled,200,5.66
31657,Ira3D Poetry 4,4,Generic Standard PLA,ABS/PLA,300,5.67
31657,Prusa i3,3,Generic Standard PLA,ABS/PLA,300,5.67
69526,Tevo Tarantula,1,Generic Standard PLA,ABS/PLA,100,5.67
69526,Tevo Tarantula,1,Generic Standard ABS,ABS/PLA,200,5.67
173221,UP Plus 2,2,Generic Standard ABS,ABS/PLA,200,5.67
180633,RepRap,2,Generic Standard ABS,ABS/PLA,200,5.67
212899,Mark 1,2,Generic Standard PLA,ABS/PLA,200,5.67
231784,FlashForge Creator Pro,2,Generic Standard PLA,ABS/PLA,200,5.67
231784,FlashForge Creator Pro,2,Generic Standard ABS,ABS/PLA,200,5.67
31657,Prusa i3,3,Generic Standard PETG,PET,300,5.67
5263,Rostock MAX,3,Generic Standard PLA,ABS/PLA,100,5.68
5263,Hephestos 2,3,Generic Standard PLA,ABS/PLA,100,5.68
106257,RepRap,4,Generic Standard ABS,ABS/PLA,100,5.68
145126,Prusa i3,1,Generic Standard ABS,ABS/PLA,200,5.7
177078,FlashForge Finder,4,Generic Standard PLA,ABS/PLA,200,5.73
177078,Kossel Mini,4,Generic Standard PLA,ABS/PLA,200,5.73
197339,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,300,5.73
187190,Tevo Tarantula,3,Generic Standard PLA,ABS/PLA,250,5.76
213349,ANET 3D - A8,3,Generic Standard PLA,ABS/PLA,75,5.76
3DFrontier,ANET 3D - A8,2,Generic Standard PETG,PET,200,5.76
66831,UP Box,1,Generic Standard ABS,ABS/PLA,200,5.78
Perryshub,FlashForge Creator Pro,1,Generic Standard PLA,ABS/PLA,200,5.78
180538,Max Micron - Aluminium Frame Dual Head ,7,Generic Standard PLA,ABS/PLA,300,5.79
207832,FlashForge Creator Pro,2,Generic Standard PLA,ABS/PLA,200,5.79
207832,FlashForge Creator Pro,2,Generic Standard ABS,ABS/PLA,300,5.79
GriffHub,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,100,5.8
221811,Monoprice MP Select Mini,2,Generic Standard PETG,PET,175,5.8
231575,Original Prusa i3 MK2,1,ColorFabb woodFill,ABS/PLA Filled,200,5.81
64834,CraftBot,4,Generic Standard PLA,ABS/PLA,200,5.82
64834,CraftBot,4,Generic Standard ABS,ABS/PLA,200,5.82
64834,CraftBot PLUS,4,Generic Standard PLA,ABS/PLA,200,5.82
64834,CraftBot XL,4,Generic Standard PLA,ABS/PLA,200,5.82
HendriHub,Prusa i3,4,Generic Standard PLA,ABS/PLA,200,5.82
MS3D,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,100,5.82
49340,Zuhai CTC - CTC Bizer,3,Generic Standard PLA,ABS/PLA,200,5.83
49340,Zuhai CTC - CTC Bizer,3,Generic Standard ABS,ABS/PLA,200,5.83
53652,CTC-3D,3,Generic Standard ABS,ABS/PLA,300,5.83
53652,CTC-3D,3,Generic Standard PLA,ABS/PLA,100,5.83
53652,Creality Ender 2,2,Generic Standard PLA,ABS/PLA,200,5.83
53652,Creality Ender 2,2,Generic Standard PLA,ABS/PLA,300,5.83
56280,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,300,5.83
56280,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,200,5.83
56280,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,150,5.83
66974,Ultimaker Original,3,Generic Standard PLA,ABS/PLA,200,5.83
